date, pm25, pm10, o3, no2, so2, co
03-01-22,73,37,25,3, , 
04-01-22,73,35,23,3, , 
05-01-22,72,34,23,3, , 
06-01-22,65,37,23,2, , 
07-01-22,73,38,24,2, , 
08-01-22,81,33,22,2, , 
09-01-22,67,35,23,3, , 
10-01-22,68,34,21,3, , 
11-01-22,67,47,27,3, , 
12-01-22,89,50,25,3, , 
13-01-22,95,49,27,4, , 
14-01-22,97,49,30,1, , 
15-01-22,100,30,16, , , 
16-01-22,76,28,19,2,8, 
17-01-22,63,34,22,1, , 
18-01-22,78,37,23,2, , 
19-01-22,86,34,23,1, , 
20-01-22,77,33,19,3, , 
21-01-22,77,29,17,2, , 
22-01-22,64,31,21,2, , 
23-01-22,69,36,21,2, , 
24-01-22,74,35,21,3, , 
25-01-22,74,35,21,3, , 
26-01-22,71, , , , , 
01-10-21,57,23,13, , , 
02-10-21,52,23,18, , , 
03-10-21,51,24,16, , , 
04-10-21,55,27,18, , , 
05-10-21,58,26,15, , , 
06-10-21,57,28,18, , , 
07-10-21,62,31,24, , , 
08-10-21,65,32,26, , , 
09-10-21,74,32,18, , , 
10-10-21,76,23,10, , , 
11-10-21,55,18,8, , , 
12-10-21,45,21,10, , , 
13-10-21,46,27,11, , , 
14-10-21,60,19,10, , , 
15-10-21,49,15,7, , , 
16-10-21,36,16,9, , , 
17-10-21,40,23,12, , , 
18-10-21,48,21, , , , 
19-10-21,51,25, , , , 
20-10-21,55,23, , , , 
21-10-21,49,21, , , , 
22-10-21,45,22,4, , , 
23-10-21,51,18,7, , , 
24-10-21,41,26,9, , , 
25-10-21,57,29,11, , , 
26-10-21,63,33,15, , , 
27-10-21,73,23, , , , 
28-10-21,54,27,4, , , 
29-10-21,63,22,5, , , 
30-10-21,56,24,9, , , 
31-10-21,53,21,5, , , 
01-11-21,46,19,9, , , 
02-11-21,47,23,10, , , 
03-11-21,55,29,4, , , 
04-11-21,58,29,12, , , 
05-11-21,61,28,12, , , 
06-11-21,61,28,15, , , 
07-11-21,62,34,12, , , 
08-11-21,68,34,15, , , 
09-11-21,74,30,18, , , 
10-11-21,66,30,19, , , 
11-11-21,66,29,19, , , 
12-11-21,67,27,19, , , 
13-11-21,64,31,20,2, , 
14-11-21,70,32,4,1, , 
15-11-21,72,34,20, , , 
16-11-21,74,34,25, , , 
17-11-21,74,34,23, , , 
18-11-21,75,37,22, , , 
19-11-21,81,32,18, , , 
20-11-21,71,26,18, , , 
21-11-21,60,32,22, , , 
22-11-21,69,33,20,1, , 
23-11-21,71,28,17,1, , 
24-11-21,63,31,17,1, , 
25-11-21,69,34,24,2, , 
26-11-21,74,27,16, , , 
27-11-21,69,23,12,1, , 
28-11-21,57,30,11,2, , 
29-11-21,69,27,15,1, , 
30-11-21,67,30,14,2,8, 
01-12-21,71,34,15,1, , 
02-12-21,78,33,15,1, , 
03-12-21,76,36,19,1, , 
04-12-21,80,35,19,3, , 
05-12-21,81,38,23,3, , 
06-12-21,86,47,26,5, , 
07-12-21,102,47,23,5, , 
08-12-21,106,42,24,4, , 
09-12-21,92,32,24,3, , 
10-12-21,75,33,25,2, , 
11-12-21,76,35,22, , , 
12-12-21,78,40,22, , , 
13-12-21,80,38,21, , , 
14-12-21,77,41,22, , , 
15-12-21,83,37,19, , , 
16-12-21,77,34,18, , , 
17-12-21,71,35,21, , , 
18-12-21,78,38,16, , , 
19-12-21,89,44,19,3, , 
20-12-21,94,47,24,2, , 
21-12-21,96,45,25,4, , 
22-12-21,94,46,24,2, , 
23-12-21,96,48,24,1, , 
24-12-21,98,48,28,2, , 
25-12-21,106,50,23,2, , 
26-12-21,106,44,22,1, , 
27-12-21,87,39,25,1, , 
28-12-21,78,35,26,2, , 
29-12-21,69,31,19,3, , 
30-12-21,68,29,25,1, , 
31-12-21,70,37,27,1, , 
01-01-22,85,31,27,2, , 
02-01-22,72,34,27,2, , 
01-07-21,51,21,11,1,4, 
02-07-21,51,21,16,1, , 
03-07-21,50,20,18,1, , 
04-07-21,48,23,16,2, , 
05-07-21,52,21,7,1, , 
06-07-21,49,18,12,2, , 
07-07-21,46,23,16,2, , 
08-07-21,53,17,14,2, , 
09-07-21,48,26,14,1,4, 
10-07-21,48,17,13, , , 
11-07-21,42,19,13, , , 
12-07-21,45,22,18, , , 
13-07-21,50,22,24, , , 
14-07-21,49,24,13, , , 
15-07-21,52,19,15, , , 
16-07-21,51,20,18, , , 
17-07-21,50,20,15, , , 
18-07-21,47,21,11, , , 
19-07-21,48,18,8, , , 
20-07-21,49,20,12, , , 
21-07-21,46,19,11, , , 
22-07-21,46,25,12, , , 
23-07-21,53,23,10, , , 
24-07-21,59,27,12, , , 
25-07-21,63,26,11, , , 
26-07-21,60,23,12, , , 
27-07-21,60,25,10, , , 
28-07-21,59,32,12, , , 
29-07-21,64,32,16, , , 
30-07-21,65,27,12, , , 
31-07-21,61,30,8, , , 
01-08-21,62,33,9, , , 
02-08-21,66,28,12, , , 
03-08-21,61,27,15, , , 
04-08-21,58,25,12, , , 
05-08-21,53,24,11, , , 
06-08-21,56,30,14, , , 
07-08-21,59,32,15, , , 
08-08-21,61,32,17, , , 
09-08-21,64,36,17, , , 
10-08-21,74,30,8, , , 
11-08-21,64,33,16, , , 
12-08-21,62,26,11, , , 
13-08-21,56,18,12, , , 
14-08-21,49,20,12, , , 
15-08-21,48,20,7, , , 
16-08-21,45,22,11, , , 
17-08-21,49,24,15, , , 
18-08-21,57,26,10, , , 
19-08-21,54,24,12, , , 
20-08-21,51,27,16, , , 
21-08-21,57,24,20, , , 
22-08-21,51,27,20, , , 
23-08-21,56,25,19, , , 
24-08-21,53,19,19, , , 
25-08-21,45,21,20, ,1, 
26-08-21,51,22,18, , , 
27-08-21,52,20,18, , , 
28-08-21,50,20,17, , , 
29-08-21,46,24,23, , , 
30-08-21,49,24,20, , , 
31-08-21,54,26,22, , , 
01-09-21,60,26,20, , , 
02-09-21,62,27,15, , , 
03-09-21,62,19,14, , , 
04-09-21,46,16,5, , , 
05-09-21,39,23,11, , , 
06-09-21,49,22,11, , , 
07-09-21,48,21,17, , , 
08-09-21,53,21,11, , , 
09-09-21,53,17,8, , , 
10-09-21,45,21,18, , , 
11-09-21,50,21,16, , , 
12-09-21,46,21,20, , , 
